epoch,step,test_acc,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,0.046875,,3.6704819202423096,,
0,99,,,0.09375,,3.5204694271087646,,
0,149,,,0.109375,,3.4835219383239746,,
0,199,,,0.109375,,3.4416353702545166,,
0,249,,,0.125,,3.368422269821167,,
0,299,,,0.140625,,3.460115671157837,,
0,332,,,,,,0.14620870351791382,3.344777822494507
0,332,,0.10543356090784073,,3.5048651695251465,,,
1,349,,,0.171875,,3.091115713119507,,
1,399,,,0.1875,,3.2538371086120605,,
1,449,,,0.171875,,3.3718435764312744,,
1,499,,,0.171875,,3.199200391769409,,
1,549,,,0.21875,,3.244805335998535,,
1,599,,,0.234375,,3.0855321884155273,,
1,649,,,0.21875,,3.1691415309906006,,
1,665,,,,,,0.22597597539424896,3.1188137531280518
1,665,,0.19524212181568146,,3.2170519828796387,,,
2,699,,,0.125,,3.2052481174468994,,
2,749,,,0.234375,,3.091050386428833,,
2,799,,,0.296875,,2.900292158126831,,
2,849,,,0.234375,,2.981901168823242,,
2,899,,,0.34375,,2.78539776802063,,
2,949,,,0.28125,,2.882139205932617,,
2,998,,,,,,0.30011260509490967,2.887655735015869
2,998,,0.2703171968460083,,2.9920461177825928,,,
3,999,,,0.359375,,2.7650632858276367,,
3,1049,,,0.359375,,2.7605113983154297,,
3,1099,,,0.34375,,2.7636032104492188,,
3,1149,,,0.3125,,2.951134204864502,,
3,1199,,,0.359375,,2.641669750213623,,
3,1249,,,0.328125,,2.7641751766204834,,
3,1299,,,0.328125,,2.5874297618865967,,
3,1331,,,,,,0.3543543517589569,2.6396353244781494
3,1331,,0.32807809114456177,,2.751279830932617,,,
4,1349,,,0.515625,,2.334980010986328,,
4,1399,,,0.359375,,2.4377050399780273,,
4,1449,,,0.375,,2.711977481842041,,
4,1499,,,0.359375,,2.540416717529297,,
4,1549,,,0.28125,,2.80322527885437,,
4,1599,,,0.390625,,2.487922191619873,,
4,1649,,,0.375,,2.414274215698242,,
4,1664,,,,,,0.4007132053375244,2.388540267944336
4,1664,,0.37889450788497925,,2.4966917037963867,,,
5,1699,,,0.390625,,2.437749147415161,,
5,1749,,,0.34375,,2.5306320190429688,,
5,1799,,,0.546875,,2.178999900817871,,
5,1849,,,0.46875,,2.2928853034973145,,
5,1899,,,0.421875,,2.231673002243042,,
5,1949,,,0.46875,,1.9761698246002197,,
5,1997,,,,,,0.4510135054588318,2.142395496368408
5,1997,,0.4352477490901947,,2.24790096282959,,,
6,1999,,,0.4375,,2.13920521736145,,
6,2049,,,0.453125,,1.9857794046401978,,
6,2099,,,0.5,,2.2035837173461914,,
6,2149,,,0.578125,,1.9022570848464966,,
6,2199,,,0.46875,,1.9159234762191772,,
6,2249,,,0.53125,,1.927659273147583,,
6,2299,,,0.53125,,1.9532755613327026,,
6,2330,,,,,,0.49605855345726013,1.9245864152908325
6,2330,,0.48043355345726013,,2.019080877304077,,,
7,2349,,,0.46875,,1.881118893623352,,
7,2399,,,0.46875,,2.016414165496826,,
7,2449,,,0.546875,,1.817557454109192,,
7,2499,,,0.53125,,1.9678053855895996,,
7,2549,,,0.5,,1.7794820070266724,,
7,2599,,,0.59375,,1.6247013807296753,,
7,2649,,,0.546875,,1.5705291032791138,,
7,2663,,,,,,0.5503003001213074,1.7412664890289307
7,2663,,0.5278716087341309,,1.8190712928771973,,,
8,2699,,,0.578125,,1.7465324401855469,,
8,2749,,,0.5625,,1.7450248003005981,,
8,2799,,,0.53125,,1.787813663482666,,
8,2849,,,0.546875,,1.6723644733428955,,
8,2899,,,0.5625,,1.761963129043579,,
8,2949,,,0.640625,,1.5628701448440552,,
8,2996,,,,,,0.587087094783783,1.5809742212295532
8,2996,,0.5775619149208069,,1.6445326805114746,,,
9,2999,,,0.578125,,1.589804768562317,,
9,3049,,,0.46875,,1.8669216632843018,,
9,3099,,,0.640625,,1.5307973623275757,,
9,3149,,,0.71875,,1.2569328546524048,,
9,3199,,,0.484375,,1.6772056818008423,,
9,3249,,,0.671875,,1.3996020555496216,,
9,3299,,,0.578125,,1.4377599954605103,,
9,3329,,,,,,0.6285660862922668,1.4408918619155884
9,3329,,0.6196978092193604,,1.4904098510742188,,,
10,3349,,,0.671875,,1.3839205503463745,,
10,3399,,,0.53125,,1.4754993915557861,,
10,3449,,,0.640625,,1.424128532409668,,
10,3499,,,0.75,,1.26296865940094,,
10,3549,,,0.671875,,1.3351571559906006,,
10,3599,,,0.671875,,1.2999238967895508,,
10,3649,,,0.578125,,1.4902379512786865,,
10,3662,,,,,,0.6608483195304871,1.3035882711410522
10,3662,,0.6620213985443115,,1.3539397716522217,,,
11,3699,,,0.6875,,1.2270034551620483,,
11,3749,,,0.78125,,1.1258364915847778,,
11,3799,,,0.640625,,1.3982021808624268,,
11,3849,,,0.734375,,1.3480924367904663,,
11,3899,,,0.765625,,1.067267894744873,,
11,3949,,,0.671875,,1.2624108791351318,,
11,3995,,,,,,0.7019519805908203,1.1955493688583374
11,3995,,0.6988551020622253,,1.230583906173706,,,
12,3999,,,0.71875,,1.1102924346923828,,
12,4049,,,0.71875,,1.203676462173462,,
12,4099,,,0.734375,,1.241848111152649,,
12,4149,,,0.765625,,1.1148532629013062,,
12,4199,,,0.84375,,0.8884245753288269,,
12,4249,,,0.78125,,0.9063984155654907,,
12,4299,,,0.6875,,1.066476821899414,,
12,4328,,,,,,0.7355480194091797,1.0855289697647095
12,4328,,0.7352665066719055,,1.1141573190689087,,,
13,4349,,,0.734375,,1.1099469661712646,,
13,4399,,,0.78125,,0.8946366906166077,,
13,4449,,,0.78125,,1.057150959968567,,
13,4499,,,0.71875,,1.007176399230957,,
13,4549,,,0.75,,0.938467800617218,,
13,4599,,,0.859375,,0.8737309575080872,,
13,4649,,,0.703125,,1.0663421154022217,,
13,4661,,,,,,0.7610735893249512,0.9837462306022644
13,4661,,0.7667511105537415,,1.0091297626495361,,,
14,4699,,,0.71875,,1.073979377746582,,
14,4749,,,0.84375,,0.849535346031189,,
14,4799,,,0.8125,,0.9065037369728088,,
14,4849,,,0.890625,,0.715462327003479,,
14,4899,,,0.78125,,0.7464094161987305,,
14,4949,,,0.828125,,0.8897745013237,,
14,4994,,,,,,0.7987987995147705,0.9029825925827026
14,4994,,0.797672688961029,,0.9138010144233704,,,
15,4999,,,0.90625,,0.7413024306297302,,
15,5049,,,0.78125,,0.9554024934768677,,
15,5099,,,0.796875,,0.8925588726997375,,
15,5149,,,0.75,,0.8922538757324219,,
15,5199,,,0.828125,,0.7274090647697449,,
15,5249,,,0.796875,,0.8510460257530212,,
15,5299,,,0.8125,,0.7598444819450378,,
15,5327,,,,,,0.8168168067932129,0.8098543286323547
