epoch,step,test_loss,train_error,train_loss,val_error,val_loss
0,10,,,,11524.958984375,11524.958984375
0,10,,12375.7216796875,12375.7216796875,,
1,21,,,,9944.7744140625,9944.7744140625
1,21,,10728.6171875,10728.6171875,,
2,32,,,,8629.13671875,8629.13671875
2,32,,9305.69921875,9305.69921875,,
3,43,,,,7481.7734375,7481.7734375
3,43,,8078.07421875,8078.07421875,,
4,54,,,,6507.7998046875,6507.7998046875
4,54,,7016.51025390625,7016.51025390625,,
5,65,,,,5660.59423828125,5660.59423828125
5,65,,6099.9013671875,6099.9013671875,,
6,76,,,,4928.99609375,4928.99609375
6,76,,5306.97705078125,5306.97705078125,,
7,87,,,,4305.5537109375,4305.5537109375
7,87,,4624.73681640625,4624.73681640625,,
8,98,,,,3768.311767578125,3768.311767578125
8,98,,4032.030517578125,4032.030517578125,,
9,109,,,,3307.876953125,3307.876953125
9,109,,3519.3720703125,3519.3720703125,,
10,120,,,,2888.2783203125,2888.2783203125
10,120,,3081.12060546875,3081.12060546875,,
11,131,,,,2549.379150390625,2549.379150390625
11,131,,2701.6142578125,2701.6142578125,,
12,142,,,,2253.457275390625,2253.457275390625
12,142,,2372.199462890625,2372.199462890625,,
13,153,,,,1981.092529296875,1981.092529296875
13,153,,2089.45263671875,2089.45263671875,,
14,164,,,,1748.32958984375,1748.32958984375
14,164,,1842.92431640625,1842.92431640625,,
15,175,,,,1548.126220703125,1548.126220703125
15,175,,1633.8992919921875,1633.8992919921875,,
16,186,,,,1388.3563232421875,1388.3563232421875
16,186,,1449.1905517578125,1449.1905517578125,,
17,197,,,,1249.0338134765625,1249.0338134765625
17,197,,1289.0267333984375,1289.0267333984375,,
18,208,,,,1118.5738525390625,1118.5738525390625
18,208,,1151.754638671875,1151.754638671875,,
19,219,,,,1010.3242797851562,1010.3242797851562
19,219,,1035.0545654296875,1035.0545654296875,,
20,230,,,,918.6029052734375,918.6029052734375
20,230,,935.3842163085938,935.3842163085938,,
21,241,,,,837.8102416992188,837.8102416992188
21,241,,847.9293823242188,847.9293823242188,,
22,252,,,,764.5543823242188,764.5543823242188
22,252,,770.461181640625,770.461181640625,,
23,263,,,,697.3486938476562,697.3486938476562
23,263,,703.0264892578125,703.0264892578125,,
24,274,,,,654.6110229492188,654.6110229492188
24,274,,646.4407348632812,646.4407348632812,,
25,285,,,,601.6781616210938,601.6781616210938
25,285,,590.9835205078125,590.9835205078125,,
26,296,,,,565.2040405273438,565.2040405273438
26,296,,560.0480346679688,560.0480346679688,,
27,307,,,,530.7025146484375,530.7025146484375
27,307,,518.9256591796875,518.9256591796875,,
28,318,,,,499.97601318359375,499.97601318359375
28,318,,487.556640625,487.556640625,,
29,329,,,,474.4915771484375,474.4915771484375
29,329,,462.0788879394531,462.0788879394531,,
30,340,,,,451.7599792480469,451.7599792480469
30,340,,435.8067321777344,435.8067321777344,,
31,351,,,,434.7666931152344,434.7666931152344
31,351,,413.64300537109375,413.64300537109375,,
32,362,,,,415.9746398925781,415.9746398925781
32,362,,395.93170166015625,395.93170166015625,,
33,373,,,,403.8610534667969,403.8610534667969
33,373,,381.3695373535156,381.3695373535156,,
34,384,,,,389.994384765625,389.994384765625
34,384,,371.98712158203125,371.98712158203125,,
35,395,,,,379.3182373046875,379.3182373046875
35,395,,360.7337341308594,360.7337341308594,,
36,406,,,,371.7787780761719,371.7787780761719
36,406,,352.0872497558594,352.0872497558594,,
37,417,,,,364.67694091796875,364.67694091796875
37,417,,340.4681701660156,340.4681701660156,,
38,428,,,,360.1282043457031,360.1282043457031
38,428,,336.6047668457031,336.6047668457031,,
39,439,,,,351.64666748046875,351.64666748046875
39,439,,326.6068420410156,326.6068420410156,,
40,450,,,,346.31707763671875,346.31707763671875
40,450,,318.4030456542969,318.4030456542969,,
41,461,,,,342.30157470703125,342.30157470703125
41,461,,318.9698486328125,318.9698486328125,,
42,472,,,,338.73468017578125,338.73468017578125
42,472,,313.0661315917969,313.0661315917969,,
43,483,,,,333.9323425292969,333.9323425292969
43,483,,308.2186279296875,308.2186279296875,,
44,494,,,,330.7734069824219,330.7734069824219
44,494,,304.5685729980469,304.5685729980469,,
45,505,,,,330.2732849121094,330.2732849121094
45,505,,302.0475158691406,302.0475158691406,,
46,516,,,,325.7381896972656,325.7381896972656
46,516,,298.64471435546875,298.64471435546875,,
47,527,,,,323.5403137207031,323.5403137207031
47,527,,294.64593505859375,294.64593505859375,,
48,538,,,,323.4430236816406,323.4430236816406
48,538,,296.04632568359375,296.04632568359375,,
49,549,,,,321.3451232910156,321.3451232910156
49,549,,295.4616394042969,295.4616394042969,,
50,550,282.9244079589844,,,,
