epoch,step,train_acc,train_loss,val_acc,val_loss
0,72,,,0.8622429370880127,0.44594308733940125
0,72,0.6626389026641846,1.1110007762908936,,
1,145,,,0.9002716541290283,0.32785162329673767
1,145,0.8943791389465332,0.3430514633655548,,
2,218,,,0.9192860126495361,0.2665059566497803
2,218,0.9191930294036865,0.25672027468681335,,
3,291,,,0.9130772352218628,0.2568361163139343
3,291,0.9282015562057495,0.21909292042255402,,
4,364,,,0.9185099005699158,0.24917714297771454
4,364,0.9318157434463501,0.20731349289417267,,
5,437,,,0.9138533473014832,0.23901139199733734
5,437,0.9395835399627686,0.1819162219762802,,
6,510,,,0.9239425659179688,0.2360752671957016
6,510,0.9444923996925354,0.1673181802034378,,
7,583,,,0.9204501509666443,0.25412312150001526
7,583,0.9481605291366577,0.15908975899219513,,
8,656,,,0.9192860126495361,0.24019291996955872
8,656,0.9455173015594482,0.16083548963069916,,
9,729,,,0.923554539680481,0.2375037521123886
9,729,0.953177273273468,0.1380586326122284,,
10,802,,,0.9161816239356995,0.2550496757030487
10,802,0.9537166953086853,0.13576605916023254,,
11,875,,,0.9258828163146973,0.2302296757698059
11,875,0.9560902118682861,0.12908810377120972,,
12,948,,,0.9188979268074036,0.25718754529953003
12,948,0.9606214165687561,0.12053004652261734,,
13,1021,,,0.9340318441390991,0.221344456076622
13,1021,0.9613766074180603,0.11138390004634857,,
14,1094,,,0.9150174856185913,0.28136616945266724
14,1094,0.9636422395706177,0.10537117719650269,,
15,1167,,,0.9204501509666443,0.26112115383148193
15,1167,0.9613766074180603,0.10972005128860474,,
16,1240,,,0.9262708425521851,0.24186943471431732
16,1240,0.9611608386039734,0.11004433780908585,,
17,1313,,,0.9297633171081543,0.23688428103923798
17,1313,0.968658983707428,0.09038442373275757,,
18,1386,,,0.9220023155212402,0.2590574324131012
18,1386,0.9708166718482971,0.08408795297145844,,
19,1459,,,0.9247186779975891,0.26576709747314453
19,1459,0.9688747525215149,0.08865155279636383,,
