epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,1815,,,,,0.7319183349609375,0.6478155851364136
0,1815,,,0.7315950989723206,0.6483790874481201,,
1,3631,,,,,0.7323222160339355,0.6461594104766846
1,3631,,,0.7319802045822144,0.646686851978302,,
2,5447,,,,,0.7326917052268982,0.6445503234863281
2,5447,,,0.7324212789535522,0.645042896270752,,
3,7263,,,,,0.7331139445304871,0.6429860591888428
3,7263,,,0.7327978014945984,0.6434460282325745,,
4,9079,,,,,0.7336187958717346,0.6414663195610046
4,9079,,,0.7332689166069031,0.6418939828872681,,
5,10895,,,,,0.7341672778129578,0.6399854421615601
5,10895,,,0.7337164282798767,0.6403835415840149,,
6,12711,,,,,0.7345941066741943,0.6385383605957031
6,12711,,,0.7342370748519897,0.6389104127883911,,
7,14527,,,,,0.7350462079048157,0.6371243000030518
7,14527,,,0.7347232699394226,0.6374711990356445,,
8,16343,,,,,0.7355005741119385,0.6357418894767761
8,16343,,,0.7351707816123962,0.6360649466514587,,
9,18159,,,,,0.7359962463378906,0.6343877911567688
9,18159,,,0.7356742024421692,0.634688675403595,,
10,19975,,,,,0.7364139556884766,0.6330609321594238
10,19975,,,0.7361948490142822,0.6333406567573547,,
11,21791,,,,,0.7368476390838623,0.6317587494850159
11,21791,,,0.7365928888320923,0.6320183873176575,,
12,23607,,,,,0.7372859716415405,0.6304819583892822
12,23607,,,0.7369973659515381,0.6307225823402405,,
13,25423,,,,,0.7377610206604004,0.6292294263839722
13,25423,,,0.7374125719070435,0.6294505596160889,,
14,27239,,,,,0.7380753755569458,0.6279985904693604
14,27239,,,0.7377912402153015,0.6282026767730713,,
15,29055,,,,,0.7385045289993286,0.6267894506454468
15,29055,,,0.7381031513214111,0.626977801322937,,
16,30871,,,,,0.7388556599617004,0.6256023049354553
16,30871,,,0.7384495735168457,0.6257731914520264,,
17,32687,,,,,0.7392343282699585,0.6244345903396606
17,32687,,,0.7388496994972229,0.6245901584625244,,
18,34503,,,,,0.739569365978241,0.6232866048812866
18,34503,,,0.7391746044158936,0.6234274506568909,,
19,36319,,,,,0.739895224571228,0.6221575736999512
19,36319,,,0.7394714951515198,0.6222838163375854,,
20,38135,,,,,0.7401981353759766,0.6210529804229736
20,38135,,,0.739749014377594,0.6211631894111633,,
21,39951,,,,,0.7404367923736572,0.6199653148651123
21,39951,,,0.7400544881820679,0.6200624108314514,,
22,41767,,,,,0.740696132183075,0.6188957691192627
22,41767,,,0.7403815388679504,0.6189786195755005,,
23,43583,,,,,0.7410449385643005,0.6178422570228577
23,43583,,,0.7406396865844727,0.6179124116897583,,
24,45399,,,,,0.7412881851196289,0.6168045401573181
24,45399,,,0.7409107685089111,0.6168617606163025,,
25,47215,,,,,0.7415084838867188,0.6157848238945007
25,47215,,,0.7412141561508179,0.6158261895179749,,
26,49031,,,,,0.7418205738067627,0.6147794127464294
26,49031,,,0.7414378523826599,0.614810585975647,,
27,50847,,,,,0.7421097159385681,0.6137901544570923
27,50847,,,0.7417799830436707,0.6138082146644592,,
28,52663,,,,,0.7423139810562134,0.6128211617469788
28,52663,,,0.7420381307601929,0.6128222346305847,,
29,54479,,,,,0.7426077127456665,0.6118691563606262
29,54479,,,0.7423479557037354,0.6118565797805786,,
30,54480,0.7423323392868042,0.6124985218048096,,,,
