Year,Month,Day,Hour,Min,Ararat,Ararat Edits,Boco,Boco Edits,Silverton,Silverton Edits
2020,3,21,12,0,2.097700,1,1.537800,1,6.414100,1
2020,3,21,12,10,4.303200,0,3.161400,0,13.272600,0
2020,3,21,12,20,4.270200,0,3.148200,0,12.949200,0
2020,3,21,12,30,4.012800,0,2.917200,0,12.262800,0
2020,3,21,12,40,4.930200,0,2.468400,0,11.715000,0
2020,3,21,12,50,5.445000,0,2.224200,0,11.635800,0
2020,3,21,13,0,4.983000,0,1.980000,0,11.860200,0
2020,3,21,13,10,3.854400,0,1.768800,0,11.767800,0
2020,3,21,13,20,7.207200,0,1.669800,0,11.358600,0
2020,3,21,13,30,7.557000,0,1.557600,0,10.975800,0
2020,3,21,13,40,7.609800,0,1.465200,0,11.061600,0
2020,3,21,13,50,7.068600,0,1.927200,0,11.061600,0
2020,3,21,14,0,6.666000,0,2.679600,0,11.081400,0
2020,3,21,14,10,6.058800,0,2.824800,0,11.068200,0
2020,3,21,14,20,5.867400,0,2.838000,0,11.338800,0
2020,3,21,14,30,5.715600,0,2.897400,0,11.748000,0
2020,3,21,14,40,5.405400,0,3.253800,0,12.104400,0
2020,3,21,14,50,4.857600,0,3.346200,0,12.190200,0
2020,3,21,15,0,4.560600,0,3.135000,0,12.203400,0
2020,3,21,15,10,4.540800,0,2.805000,0,12.177000,0
2020,3,21,15,20,4.771800,0,3.042600,0,11.787600,0
2020,3,21,15,30,4.771800,0,3.359400,0,11.477400,0
2020,3,21,15,40,4.468200,0,3.141600,0,11.081400,0
2020,3,21,15,50,4.085400,0,2.758800,0,10.870200,0
2020,3,21,16,0,3.841200,0,2.593800,0,10.665600,0
2020,3,21,16,10,3.227400,0,2.877600,0,10.586400,0
2020,3,21,16,20,3.022800,0,2.798400,0,10.553400,0
2020,3,21,16,30,2.910600,0,2.785200,0,10.579800,0
2020,3,21,16,40,2.679600,0,2.811600,0,10.593000,0
2020,3,21,16,50,2.435400,0,2.607000,0,10.929600,0
2020,3,21,17,0,2.277000,0,2.164800,0,10.711800,0
2020,3,21,17,10,2.059200,0,2.184600,0,10.513800,0
2020,3,21,17,20,1.933800,0,2.382600,0,10.197000,0
2020,3,21,17,30,1.907400,0,2.072400,0,10.124400,0
2020,3,21,17,40,1.980000,0,1.742400,0,10.289400,0
2020,3,21,17,50,1.874400,0,2.158200,0,10.408200,0
2020,3,21,18,0,1.768800,0,2.481600,0,10.388400,0
2020,3,21,18,10,1.623600,0,2.607000,0,10.421400,0
2020,3,21,18,20,1.597200,0,2.884200,0,10.137600,0
2020,3,21,18,30,1.610400,0,3.108600,0,9.589800,0
2020,3,21,18,40,1.603800,0,3.062400,0,9.827400,0
2020,3,21,18,50,1.887600,0,3.669600,0,10.058400,0
2020,3,21,19,0,2.151600,0,3.504600,0,9.919800,0
2020,3,21,19,10,2.422200,0,3.201000,0,9.649200,0
2020,3,21,19,20,2.541000,0,3.108600,0,9.431400,0
2020,3,21,19,30,2.475000,0,3.095400,0,9.319200,0
2020,3,21,19,40,2.303400,0,3.062400,0,9.075000,0
2020,3,21,19,50,2.079000,0,3.075600,0,8.599800,0
2020,3,21,20,0,1.887600,0,3.115200,0,8.342400,0
2020,3,21,20,10,1.854600,0,3.141600,0,8.566800,0
2020,3,21,20,20,1.907400,0,3.135000,0,8.434800,0
2020,3,21,20,30,1.841400,0,3.168000,0,7.642800,0
2020,3,21,20,40,1.894200,0,2.963400,0,7.213800,0
2020,3,21,20,50,1.894200,0,2.871000,0,7.477800,0
2020,3,21,21,0,1.762200,0,2.963400,0,8.012400,0
2020,3,21,21,10,1.603800,0,2.871000,0,8.500800,0
2020,3,21,21,20,1.372800,0,2.937000,0,8.269800,0
2020,3,21,21,30,1.069200,0,3.009600,0,7.893600,0
2020,3,21,21,40,0.891000,0,3.220800,0,7.953000,0
2020,3,21,21,50,1.102200,0,3.352800,0,7.583400,0
2020,3,21,22,0,1.267200,0,3.610200,0,5.016000,0
2020,3,21,22,10,1.412400,0,3.821400,0,3.326400,0
2020,3,21,22,20,1.379400,0,3.993000,0,2.567400,0
2020,3,21,22,30,1.458600,0,4.243800,0,2.164800,0
2020,3,21,22,40,1.610400,0,3.834600,0,1.993200,0
2020,3,21,22,50,1.900800,0,3.795000,0,2.118600,0
2020,3,21,23,0,2.145000,0,3.841200,0,2.013000,0
2020,3,21,23,10,2.112000,0,3.748800,0,2.098800,0
2020,3,21,23,20,1.795200,0,3.511200,0,2.752200,0
2020,3,21,23,30,1.755600,0,3.669600,0,3.570600,0
2020,3,21,23,40,2.065800,0,3.610200,0,4.059000,0
2020,3,21,23,50,2.277000,0,3.537600,0,4.415400,0
2020,3,22,0,0,2.138400,0,3.656400,0,4.699200,0
2020,3,22,0,10,1.841400,0,3.676200,0,4.765200,0
2020,3,22,0,20,1.544400,0,3.795000,0,4.798200,0
2020,3,22,0,30,1.412400,0,3.880800,0,4.844400,0
2020,3,22,0,40,1.353000,0,3.735600,0,4.653000,0
2020,3,22,0,50,1.326600,0,3.583800,0,4.309800,0
2020,3,22,1,0,1.372800,0,3.300000,0,4.118400,0
2020,3,22,1,10,1.280400,0,2.956800,0,4.596900,1
2020,3,22,1,20,1.115400,0,2.739000,0,4.521000,0
2020,3,22,1,30,0.970200,0,2.547600,0,4.824600,0
2020,3,22,1,40,0.851400,0,2.428800,0,5.154600,0
2020,3,22,1,50,0.798600,0,2.343000,0,5.233800,0
2020,3,22,2,0,0.759000,0,2.197800,0,4.963200,0
2020,3,22,2,10,1.234200,0,2.296800,0,4.633200,0
2020,3,22,2,20,1.854600,0,2.316600,0,4.309800,0
2020,3,22,2,30,2.402400,0,2.316600,0,3.986400,0
2020,3,22,2,40,2.785200,0,2.204400,0,3.682800,0
2020,3,22,2,50,3.293400,0,2.105400,0,3.313200,0
2020,3,22,3,0,4.323000,0,2.085600,0,3.075600,0
2020,3,22,3,10,5.319600,0,1.980000,0,3.036000,0
2020,3,22,3,20,5.768400,0,1.808400,0,3.201000,0
2020,3,22,3,30,5.392200,0,1.755600,0,3.511200,0
2020,3,22,3,40,5.266800,0,1.716000,0,3.696000,0
2020,3,22,3,50,6.052200,0,1.570800,0,3.729000,0
2020,3,22,4,0,6.303000,0,1.359600,0,3.715800,0
2020,3,22,4,10,6.870600,0,1.135200,0,3.682800,0
2020,3,22,4,20,7.491000,0,1.062600,0,3.623400,0
2020,3,22,4,30,8.250000,0,1.056000,0,3.517800,0
2020,3,22,4,40,7.471200,0,0.970200,0,3.300000,0
2020,3,22,4,50,7.484400,0,0.778800,0,2.923800,0
2020,3,22,5,0,7.279800,0,0.594000,0,2.514600,0
2020,3,22,5,10,7.444800,0,0.468600,0,1.927200,0
2020,3,22,5,20,7.022400,0,0.382800,0,1.392600,0
2020,3,22,5,30,6.923400,0,0.290400,0,1.174800,0
2020,3,22,5,40,6.910200,0,0.270600,0,1.036200,0
2020,3,22,5,50,6.989400,0,0.283800,0,0.924000,0
2020,3,22,6,0,7.167600,0,0.356400,0,0.811800,0
2020,3,22,6,10,7.108200,0,0.495000,0,0.798600,0
2020,3,22,6,20,6.758400,0,0.679800,0,0.858000,0
2020,3,22,6,30,6.639600,0,0.838200,0,1.102200,0
2020,3,22,6,40,6.798000,0,0.943800,0,1.438800,0
2020,3,22,6,50,6.448200,0,0.976800,0,1.960200,0
2020,3,22,7,0,6.171000,0,1.003200,0,2.560800,0
2020,3,22,7,10,6.039000,0,1.056000,0,3.214200,0
2020,3,22,7,20,6.144600,0,1.141800,0,3.933600,0
2020,3,22,7,30,5.959800,0,1.254000,0,4.633200,0
2020,3,22,7,40,5.405400,0,1.339800,0,5.134800,0
2020,3,22,7,50,5.042400,0,1.392600,0,5.438400,0
2020,3,22,8,0,4.818000,0,1.465200,0,5.689200,0
2020,3,22,8,10,4.699200,0,1.551000,0,6.006000,0
2020,3,22,8,20,4.732200,0,1.636800,0,6.336000,0
2020,3,22,8,30,4.884000,0,1.735800,0,6.679200,0
2020,3,22,8,40,5.266800,0,1.834800,0,7.022400,0
2020,3,22,8,50,5.570400,0,1.881000,0,7.319400,0
2020,3,22,9,0,5.781600,0,1.894200,0,7.570200,0
2020,3,22,9,10,5.887200,0,1.874400,0,7.834200,0
2020,3,22,9,20,5.959800,0,1.821600,0,8.131200,0
2020,3,22,9,30,5.761800,0,1.768800,0,8.507400,0
2020,3,22,9,40,5.431800,0,1.749000,0,8.784600,0
2020,3,22,9,50,5.273400,0,1.729200,0,8.811000,0
2020,3,22,10,0,4.811400,0,1.716000,0,8.632800,0
2020,3,22,10,10,4.593600,0,1.702800,0,8.441400,0
2020,3,22,10,20,4.547400,0,1.702800,0,8.316000,0
2020,3,22,10,30,4.521000,0,1.709400,0,8.164200,0
2020,3,22,10,40,4.362600,0,1.762200,0,8.032200,0
2020,3,22,10,50,4.342800,0,1.828200,0,7.913400,0
2020,3,22,11,0,4.600200,0,1.854600,0,7.814400,0
2020,3,22,11,10,4.950000,0,1.854600,0,7.781400,0
2020,3,22,11,20,4.851000,0,1.900800,0,7.774800,0
2020,3,22,11,30,4.171200,0,1.966800,0,7.761600,0
2020,3,22,11,40,3.597000,0,2.026200,0,7.741800,0
2020,3,22,11,50,3.755400,0,2.079000,0,7.761600,0
2020,3,22,12,0,4.164600,0,2.151600,0,7.867200,0
2020,3,22,12,10,4.580400,0,2.224200,0,8.118000,0
2020,3,22,12,20,4.976400,0,2.277000,0,8.388600,0
2020,3,22,12,30,5.207400,0,2.343000,0,8.672400,0
