Stress (MPa)	Strain
0.0086883	0.000019586
0.010142	0.000020177
0.011595	0.000020768
0.013049	0.000021359
0.014502	0.00002195
0.015956	0.000022541
0.017409	0.000023132
0.018863	0.000023723
0.020316	0.000024314
0.02177	0.000024905
0.023223	0.000025496
0.024677	0.000026087
0.049544	0.000026678
0.40352	0.000027269
2.4305	0.00002786
3.9896	0.000028451
7.1803	0.000029042
8.7498	0.000042956
12.007	0.000097766
13.644	0.00015258
17.067	0.00020739
19.096	0.0002622
22.284	0.00031701
25.256	0.00037182
27.99	0.00042663
30.779	0.00048144
33.752	0.00053625
36.77	0.00060325
39.378	0.00078273
41.566	0.00096222
43.166	0.0011417
45.375	0.0014856
46.462	0.0016204
48.444	0.0018766
50.322	0.0021496
52.126	0.0026127
53.659	0.0029175
55.105	0.0032357
56.552	0.003584
57.998	0.0039323
59.444	0.0042806
60.89	0.0046289
61.632	0.0049772
62.716	0.0053255
63.857	0.0056738
64.997	0.0060221
66.138	0.0063703
67.278	0.0067325
68.419	0.0070942
69.56	0.0074547
70.742	0.0078151
71.987	0.0081755
73.244	0.0085077
74.51	0.0088328
75.628	0.0091477
76.611	0.0094627
77.594	0.0097776
78.578	0.010331
79.561	0.01103
80.055	0.011312
81.292	0.011555
82.426	0.011799
83.037	0.01217
83.191	0.01254
84.545	0.012911
85.899	0.01327
87.128	0.013606
88.293	0.013941
89.459	0.014842
89.933	0.015211
90.348	0.015581
90.796	0.01595
91.411	0.01632
92.026	0.016689
92.64	0.017089
93.255	0.017492
94.305	0.017896
95.411	0.0183
96.518	0.018703
97.236	0.019107
97.556	0.019511
98.059	0.019914
100.37	0.020318
100.99	0.020722
101.62	0.021125
102.24	0.021534
102.87	0.021952
103.57	0.02237
104.34	0.022788
105.11	0.023203
105.88	0.023606
106.85	0.02401
107.97	0.024414
108.84	0.024818
109.15	0.025221
109.46	0.025625
109.77	0.026029
110.7	0.026432
111.58	0.026848
111.64	0.027273
112	0.027699
112.49	0.028124
112.98	0.028549
113.48	0.028974
113.75	0.029391
113.94	0.029783
115.99	0.030175
116.51	0.030567
117.04	0.030959
117.56	0.031351
118.08	0.031905
118.6	0.032472
119.12	0.03305
119.65	0.033635
120.17	0.03422
119.76	0.034806
120.3	0.035219
121	0.035573
121.7	0.035927
122.25	0.03628
122.77	0.036634
123.29	0.03706
123.83	0.037519
124.38	0.037977
124.93	0.038427
125.26	0.038854
125.69	0.03928
126.26	0.039707
126.84	0.040134
127.42	0.04056
128	0.040987
128.47	0.041414
128.86	0.041834
129.26	0.042141
129.65	0.042447
130.05	0.042847
130.45	0.043296
130.84	0.043744
131.24	0.045014
131.7	0.045484
132.17	0.045954
132.65	0.046424
132.87	0.046893
133.34	0.047363
133.81	0.047875
134.28	0.048403
134.75	0.04893
135.22	0.049457
135.69	0.049245
136.16	0.04962
136.63	0.049997
133.5	0.050421
133.69	0.050845
134.31	0.051269
134.93	0.051694
135.55	0.052118
136.17	0.052515
136.79	0.052896
137.41	0.053277
137.8	0.054609
137.93	0.055105
138.05	0.055567
138.46	0.05595
139.04	0.056334
139.63	0.056722
139.69	0.057211
139.49	0.057699
139.63	0.058188
139.85	0.058677
140.06	0.059179
140.28	0.059805
140.49	0.060431
140.71	0.061087
142.17	0.06179
141.9	0.062437
142.02	0.062847
142.31	0.063256
142.45	0.063665
142.53	0.064074
143.9	0.064484
145.06	0.064893
144.92	0.065158
144.78	0.065388
143.67	0.06568
141.75	0.06627
141.76	0.06686
142.14	0.067367
142.52	0.067872
142.9	0.068377
143.28	0.068853
143.67	0.069266
144.13	0.06968
144.59	0.070094
145.05	0.070535
145.51	0.071163
145.97	0.071791
146.43	0.072461
146.89	0.073248
147.36	0.073949
147.5	0.074424
147.33	0.074898
147.17	0.075383
147.13	0.075873
147.08	0.076364
147.04	0.076854
147.24	0.077344
147.54	0.077834
147.83	0.078324
148.13	0.078814
148.43	0.079304
148.72	0.079794
149.02	0.080301
149.32	0.080837
149.62	0.081374
149.91	0.081911
150.21	0.082448
150.26	0.082984
150.29	0.083521
150.33	0.084058
150.36	0.084606
150.4	0.085178
150.5	0.085751
150.7	0.086324
150.91	0.086897
151.11	0.087469
151.32	0.088042
151.52	0.088615
151.73	0.089175
151.93	0.089724
152.14	0.090273
152.32	0.090822
152.45	0.091596
152.59	0.092557
152.72	0.093231
152.85	0.093655
152.86	0.094079
152.79	0.094503
152.72	0.094927
152.66	0.095457
152.59	0.09605
152.56	0.096642
152.56	0.097235
152.55	0.097828
152.55	0.09842
152.54	0.099013
152.54	0.099606
152.54	0.1002
152.48	0.10061
152.07	0.10108
152.04	0.10158
152.62	0.10209
152.85	0.10259
153.08	0.1031
153.3	0.10357
153.53	0.10396
153.76	0.10435
153.99	0.10482
154.26	0.10537
154.56	0.10591
154.85	0.10646
155.06	0.10701
154.93	0.10755
154.81	0.10812
154.68	0.1087
154.56	0.10927
154.43	0.10985
154.31	0.11049
154.18	0.11115
154.06	0.11181
154	0.11246
154.1	0.11312
154.21	0.11371
154.31	0.1142
154.42	0.1147
154.52	0.11519
154.63	0.11569
156.22	0.11618
156.25	0.11668
156.29	0.11714
156.33	0.1176
156.36	0.11809
156.11	0.11869
155.85	0.1193
155.71	0.1199
155.57	0.1205
155.44	0.1211
155.3	0.12171
155.17	0.12231
155.03	0.12291
154.89	0.12348
155.14	0.12397
155.43	0.12446
155.69	0.12495
156.4	0.12527
157.41	0.12556
