Stress (MPa)	Strain
0.012992	8.4023E-06
0.012992	-9.2002E-06
0.012992	-0.000026803
0.012992	-0.000044405
0.012992	-0.000059151
0.012992	-5.5877E-06
0.12638	0.000059398
0.76803	0.00037961
1.2239	0.00069983
1.8129	0.0011109
2.5587	0.0017267
3.1771	0.0022009
3.794	0.0026752
4.3761	0.0031494
4.9582	0.0036237
5.5403	0.004098
6.1225	0.0045722
6.7046	0.005066
7.2867	0.0056089
7.8688	0.0061518
8.4175	0.0066947
8.9541	0.0072376
9.4908	0.0077805
10.028	0.0083234
10.458	0.0088663
10.96	0.0094092
11.461	0.0099521
11.963	0.010495
12.465	0.011038
12.934	0.011581
13.363	0.012124
13.793	0.012667
14.222	0.013214
14.651	0.013805
15.08	0.014396
15.509	0.014986
15.89	0.015577
16.251	0.016168
16.613	0.016758
16.858	0.017349
17.089	0.01794
17.54	0.018558
17.85	0.019186
18.16	0.019814
18.47	0.020443
18.781	0.021071
19.088	0.021699
19.34	0.022327
19.616	0.022955
19.927	0.023583
20.216	0.024211
20.35	0.02485
20.575	0.025507
20.799	0.026163
21.023	0.02682
21.26	0.027477
21.36	0.028167
21.634	0.028878
21.94	0.029589
22.177	0.0303
22.34	0.031012
22.504	0.031697
22.652	0.032351
22.777	0.033005
22.842	0.033659
22.966	0.034325
23.209	0.035087
23.453	0.03585
23.665	0.036349
23.858	0.037034
23.878	0.037718
23.983	0.038403
24.092	0.039075
24.222	0.039773
24.367	0.040491
24.512	0.041209
24.622	0.041927
24.716	0.042645
24.756	0.043363
24.846	0.04411
25.119	0.044587
25.253	0.045353
25.387	0.046119
25.521	0.046885
25.655	0.047652
25.595	0.048418
25.636	0.049157
25.677	0.049803
25.718	0.050449
26.025	0.051195
26.123	0.051941
26.222	0.052686
26.172	0.053432
26.264	0.05418
26.406	0.054929
26.548	0.055679
26.312	0.056237
26.409	0.056992
26.506	0.057746
26.603	0.058501
26.7	0.059255
26.796	0.06001
26.869	0.060598
26.841	0.061268
26.943	0.062066
27.045	0.062864
27.146	0.063663
27.248	0.064461
27.275	0.065259
27.286	0.066057
27.297	0.06683
27.307	0.067516
27.322	0.068202
27.34	0.068892
27.394	0.069689
27.426	0.070486
27.352	0.071284
27.593	0.072033
27.536	0.072665
27.487	0.073298
27.591	0.074381
27.547	0.075148
27.738	0.075918
27.791	0.07669
27.802	0.077462
27.76	0.078234
27.72	0.079006
27.725	0.079735
27.765	0.080366
27.818	0.081262
27.871	0.082243
27.924	0.083128
27.977	0.084012
28.029	0.084897
28.002	0.085615
27.854	0.086155
27.97	0.087107
28.086	0.088059
28.05	0.088697
28.016	0.089483
27.991	0.090286
27.965	0.09109
27.934	0.091893
27.943	0.092698
27.954	0.093504
27.972	0.094309
28.061	0.095112
27.986	0.095912
28.042	0.096712
27.988	0.097452
27.915	0.098191
27.877	0.09893
27.912	0.099689
27.947	0.10053
28.134	0.10137
28.091	0.1022
28.047	0.10303
27.992	0.10385
27.936	0.10468
27.951	0.10551
27.982	0.10634
28.012	0.10716
28.043	0.10799
28.076	0.10882
28.05	0.10965
28.02	0.11046
27.99	0.11126
27.961	0.11206
27.972	0.11286
28.006	0.11366
28.052	0.11452
28.099	0.11548
27.926	0.11633
27.936	0.11715
27.95	0.11797
27.953	0.11879
27.955	0.11961
27.956	0.12043
27.958	0.12125
27.96	0.12207
27.983	0.1229
27.936	0.12374
27.892	0.12459
27.889	0.12543
27.885	0.12627
27.882	0.12712
27.878	0.12796
27.875	0.1288
27.872	0.12965
27.868	0.13049
27.865	0.13134
27.861	0.13218
27.855	0.13302
27.848	0.13387
27.84	0.13471
27.833	0.13555
27.825	0.1364
27.818	0.13724
27.757	0.13809
27.67	0.13893
27.652	0.13977
27.633	0.14062
27.709	0.14147
27.687	0.14232
27.665	0.14318
27.643	0.14404
27.621	0.14489
27.598	0.14575
27.576	0.1466
27.554	0.14746
27.533	0.14832
27.513	0.14917
27.493	0.15003
27.474	0.15088
27.454	0.15174
27.434	0.1526
27.423	0.15345
27.425	0.15431
27.427	0.15516
27.43	0.15602
27.42	0.15687
27.404	0.15773
27.388	0.15859
27.371	0.15944
27.355	0.1603
27.338	0.16115
27.322	0.16201
27.305	0.16324
27.289	0.16411
27.265	0.16498
27.237	0.16585
27.208	0.16672
27.198	0.16759
27.203	0.16846
27.209	0.16933
27.214	0.1702
27.22	0.17108
27.209	0.17195
27.195	0.17282
27.182	0.17369
27.169	0.17456
27.156	0.17543
27.143	0.1763
27.13	0.17717
27.092	0.17804
26.963	0.17889
26.888	0.17975
26.893	0.1806
26.897	0.18146
26.901	0.18231
26.906	0.18317
27.023	0.184
26.918	0.18481
26.88	0.18562
26.862	0.18646
26.845	0.1873
26.828	0.18814
26.811	0.18898
26.794	0.18982
26.776	0.19066
26.759	0.19151
26.742	0.19272
26.734	0.19358
26.685	0.19444
26.696	0.1953
26.707	0.19615
26.719	0.19702
26.735	0.19788
26.657	0.19883
26.676	0.19979
26.616	0.20072
26.611	0.2016
26.607	0.20248
26.602	0.20336
26.598	0.20424
26.593	0.20511
26.649	0.20598
26.673	0.20676
26.441	0.20758
26.454	0.20847
26.467	0.20936
26.517	0.21026
26.621	0.2111
26.576	0.21195
26.52	0.21279
26.462	0.21363
26.398	0.21447
26.338	0.21531
26.346	0.21618
26.369	0.21711
26.366	0.21803
26.32	0.21896
26.315	0.21988
26.311	0.22081
26.29	0.22171
26.253	0.22259
26.223	0.22346
26.207	0.22434
26.203	0.22521
26.223	0.22609
26.243	0.22696
