Stress (MPa)	Strain
0	0.000018747
0	0.000017838
0	0.000016929
0	0.00001602
0	0.000015112
0	0.000014203
0	0.000013294
0.00060213	0.000012386
0.0012603	0.000011477
0.0019184	0.000010568
0.0025766	9.6597E-06
0.0032347	8.7511E-06
0.0038929	7.8424E-06
0.004551	6.9337E-06
0.0052091	0.000006025
0.0058673	5.1163E-06
0.0065254	4.2077E-06
0.0071836	0.000003299
0.0078417	2.3903E-06
0.0084999	1.4816E-06
0.009158	5.7295E-07
0.0098162	-3.3572E-07
0.010474	-1.2444E-06
0.011132	-2.1531E-06
0.011791	-3.0618E-06
0.012449	-3.9704E-06
0.013107	-4.8791E-06
0.013765	-5.7878E-06
0.014423	-6.6965E-06
0.015081	-7.6051E-06
0.015739	-8.5138E-06
0.016398	-9.4225E-06
0.017056	-0.000010331
0.017714	-0.00001124
0.054621	-0.000012149
0.095938	-0.000013057
0.13977	3.1676E-06
0.2229	0.000032748
0.30604	0.000062329
0.36804	0.00009191
0.41727	0.00012149
0.50881	0.00015107
0.66353	0.00018065
0.81785	0.00021023
0.94555	0.00023981
1.066	0.0002694
1.1864	0.00029898
1.32	0.00033885
1.4766	0.00038236
1.6676	0.00042588
1.84	0.0004694
1.9807	0.00051292
2.1061	0.00055643
2.1636	0.00059995
2.2786	0.00064347
2.4625	0.00068699
2.6528	0.00073051
2.8145	0.00077402
2.9569	0.00081754
3.0088	0.00086106
3.08	0.00090458
3.24	0.00094809
3.4191	0.00099161
3.5527	0.0010351
3.6715	0.0010786
3.7902	0.0011222
3.9106	0.0011657
4.0555	0.0012092
4.2004	0.0012527
4.3453	0.0012962
4.4901	0.0013398
4.635	0.0013833
4.776	0.0014268
4.9088	0.0014703
5.0456	0.0015138
5.1908	0.0015826
5.3359	0.0016514
5.4811	0.0017202
5.6262	0.0017891
5.7714	0.0018579
5.9165	0.0019267
6.0616	0.0019955
6.2068	0.0020644
6.3519	0.0021332
6.5016	0.002202
6.6528	0.0022578
6.804	0.0023091
6.9552	0.0023604
7.1064	0.0024118
7.2575	0.0024631
7.4087	0.0025145
7.5599	0.0025658
7.7111	0.0026171
7.8623	0.0026685
8.0135	0.0027198
8.1647	0.0027712
8.3158	0.0028225
8.467	0.0028738
8.6182	0.0029252
8.7694	0.0029765
8.9206	0.0030279
9.0718	0.0030792
9.223	0.0031305
9.3742	0.0031819
9.5254	0.0032332
9.6766	0.0032846
9.8277	0.0033359
9.9789	0.0033872
10.13	0.0034386
10.281	0.0034899
10.433	0.0035413
10.584	0.0035926
10.735	0.0036439
10.886	0.0036953
11.037	0.0037466
11.188	0.003798
11.34	0.0038493
11.491	0.0039006
11.642	0.003952
11.793	0.0040033
11.944	0.0040547
12.096	0.004106
12.247	0.0041573
12.398	0.0042087
12.549	0.00426
12.7	0.0043114
12.852	0.0043627
13.003	0.0044141
13.154	0.0044654
13.309	0.0045167
13.463	0.0045681
13.617	0.0046194
13.771	0.0046708
13.925	0.0047221
14.079	0.0047734
14.233	0.0048248
14.388	0.0048761
14.542	0.0049275
14.706	0.0049788
14.875	0.0050301
15.044	0.0050815
15.213	0.0051328
15.382	0.0051842
15.551	0.0052355
15.717	0.0052868
15.858	0.0053382
15.999	0.0053895
16.14	0.0054409
16.281	0.0054922
16.422	0.0055435
16.563	0.0055949
16.706	0.0056462
16.855	0.0056976
17.003	0.0057489
17.152	0.0058002
17.301	0.0058516
17.449	0.0059029
17.598	0.0059543
17.68	0.0060056
17.729	0.0060569
17.877	0.0061083
18.054	0.0061596
18.232	0.006211
18.409	0.0062623
18.586	0.0063136
18.749	0.006365
18.912	0.0064163
19.076	0.0064677
19.239	0.006519
19.402	0.0065703
19.566	0.0066217
19.729	0.006673
19.892	0.0067244
20.056	0.0067757
20.219	0.006827
20.382	0.0068784
20.546	0.0069297
20.709	0.0069811
20.872	0.0070324
20.96	0.0070837
21.015	0.0071351
21.122	0.0071864
21.272	0.0072378
21.421	0.0072891
21.57	0.0073404
21.72	0.0073918
21.869	0.0074431
22.01	0.007496
22.148	0.0075516
22.286	0.0076071
22.424	0.0076627
22.562	0.0077183
22.7	0.0077739
22.839	0.0078295
22.977	0.0078851
23.115	0.0079407
23.253	0.0079963
23.391	0.0080519
23.529	0.0081075
23.667	0.0081631
23.806	0.0082187
23.947	0.0082743
24.097	0.0083299
24.248	0.0083855
24.399	0.0084411
24.55	0.0084967
24.701	0.0085523
24.852	0.0086078
25.003	0.0086634
25.154	0.008719
25.304	0.0087746
25.455	0.0088302
25.606	0.0088858
25.757	0.0089414
25.908	0.008997
26.059	0.0090526
26.21	0.0091082
26.36	0.0091638
26.511	0.0092194
26.662	0.009275
26.813	0.0093306
26.964	0.0093862
27.115	0.0094418
27.263	0.0094974
27.406	0.009553
27.548	0.0096085
27.691	0.0096641
27.834	0.0097197
27.977	0.0097753
28.119	0.0098309
28.262	0.0098865
28.405	0.0099421
28.548	0.0099977
28.69	0.010053
28.833	0.010109
28.976	0.010164
29.118	0.01022
29.261	0.010276
29.404	0.010331
29.547	0.010387
29.689	0.010442
29.832	0.010498
29.975	0.010554
30.117	0.010609
30.26	0.010665
30.403	0.01072
30.546	0.010776
30.689	0.010832
30.832	0.010887
30.975	0.010943
31.119	0.010998
31.262	0.011054
31.405	0.01111
31.549	0.011165
31.692	0.011221
31.835	0.011276
31.979	0.011332
32.122	0.011388
32.265	0.011443
32.409	0.011502
32.552	0.011566
32.695	0.01163
32.83	0.011694
32.964	0.011759
33.098	0.011823
33.232	0.011887
33.366	0.011951
33.5	0.012015
33.634	0.012079
33.768	0.012144
33.902	0.012208
34.036	0.012272
34.17	0.012336
34.304	0.0124
34.438	0.012465
34.572	0.012529
34.706	0.012593
34.841	0.012657
34.975	0.012721
35.109	0.012785
35.243	0.01285
35.377	0.012914
35.511	0.012978
35.645	0.013042
35.779	0.013106
35.913	0.013171
36.047	0.013235
36.181	0.013299
36.284	0.013363
36.381	0.013427
36.478	0.013492
36.574	0.013556
36.698	0.01362
36.843	0.013684
36.988	0.013748
37.133	0.013812
37.278	0.013877
37.423	0.013941
37.567	0.014005
37.721	0.014069
37.877	0.014133
38.033	0.014198
38.189	0.014262
38.345	0.014326
38.501	0.01439
38.658	0.014454
38.777	0.014518
38.891	0.014583
39.004	0.014647
39.118	0.014711
39.232	0.014775
39.345	0.014839
39.459	0.014904
39.573	0.014968
39.686	0.015032
39.772	0.015096
39.851	0.01516
39.959	0.015225
40.093	0.015289
40.226	0.015353
40.359	0.015417
40.492	0.015481
40.625	0.015545
40.759	0.01561
40.892	0.015674
41.025	0.015738
41.158	0.015802
41.291	0.015866
41.425	0.015931
41.558	0.015995
41.691	0.016059
41.824	0.016123
41.958	0.016187
42.082	0.016252
42.185	0.016322
42.288	0.016395
42.391	0.016469
42.494	0.016542
42.597	0.016615
42.7	0.016689
42.803	0.016762
42.906	0.016835
43.009	0.016908
43.114	0.016982
43.227	0.017055
43.341	0.017128
43.454	0.017202
43.568	0.017275
43.681	0.017348
43.795	0.017422
43.909	0.017495
44.022	0.017568
44.136	0.017642
44.243	0.017715
44.347	0.017788
44.452	0.017861
44.556	0.017935
44.66	0.018008
44.765	0.018081
44.869	0.018155
44.973	0.018228
45.078	0.018301
45.182	0.018375
45.287	0.018448
45.391	0.018521
45.495	0.018595
45.6	0.018668
45.699	0.018741
45.797	0.018814
45.895	0.018888
45.992	0.018961
46.09	0.019034
46.187	0.019108
46.285	0.019181
46.383	0.019254
46.48	0.019352
46.552	0.019456
46.624	0.019561
46.696	0.019665
46.768	0.01977
46.84	0.019874
46.912	0.019979
46.984	0.020083
47.056	0.020188
47.128	0.020292
47.196	0.020397
47.257	0.020501
47.319	0.020606
47.38	0.02071
47.441	0.020815
47.502	0.020919
47.563	0.021024
47.624	0.021129
47.685	0.021233
47.746	0.021338
47.807	0.021442
47.868	0.021547
47.93	0.021651
47.991	0.021756
48.052	0.02186
48.113	0.021965
48.174	0.022069
48.221	0.022174
48.264	0.022278
48.306	0.022383
48.349	0.022487
48.391	0.022592
48.434	0.022696
48.477	0.022819
48.519	0.022951
48.562	0.023083
48.604	0.023215
48.647	0.023347
48.658	0.023479
48.649	0.023611
48.639	0.023743
48.629	0.023875
48.62	0.024007
48.61	0.024139
48.601	0.024271
48.591	0.024403
48.582	0.024535
48.57	0.024667
48.557	0.024799
48.545	0.024931
48.533	0.025063
48.52	0.025195
48.508	0.025327
48.496	0.025459
48.483	0.025591
48.471	0.025723
48.459	0.026249
48.447	0.026408
48.434	0.026567
48.422	0.026726
48.41	0.026886
48.397	0.027045
48.385	0.027204
48.373	0.027363
48.36	0.027523
48.348	0.027682
48.336	0.027841
48.324	0.028
48.289	0.028159
48.254	0.028319
48.219	0.028478
48.183	0.028637
48.148	0.028796
48.118	0.028955
48.096	0.029115
48.073	0.029274
48.051	0.029433
48.028	0.029592
48.006	0.029751
47.98	0.029911
47.95	0.03007
47.92	0.030229
47.89	0.030388
47.86	0.030548
47.83	0.030707
47.8	0.030866
47.743	0.031025
47.637	0.031184
47.531	0.031344
47.462	0.031503
47.436	0.031662
47.41	0.031821
47.384	0.03198
47.359	0.03214
47.333	0.032299
47.307	0.032458
47.281	0.032617
47.255	0.032776
47.23	0.032936
47.204	0.033095
47.178	0.033254
47.152	0.033413
47.127	0.033573
47.123	0.033732
47.123	0.033891
47.124	0.03405
47.125	0.034209
47.125	0.034369
47.126	0.034528
47.071	0.034687
46.979	0.034846
37.912	0.028689
18.441	0.028685
2.5784	0.02782
2.3073	0.02865
2.3046	0.028522
