Stress (MPa),Strain
0.0025073,-0.000037466
0.0028247,-0.000035427
0.003142,-0.000033388
0.0034594,-0.000031349
0.0037768,-0.000029311
0.0040941,-0.000027272
0.0044115,-0.000025233
0.0047289,-0.000023194
0.0050462,-0.000021155
0.0053636,-0.000019116
0.0056809,-0.000017077
0.0059983,-0.000015038
0.0063157,-0.000013
0.006633,-0.000010961
0.0069504,-8.92E-06
0.0072678,-6.88E-06
0.0075851,-0.000004844
0.0079025,-2.81E-06
0.0082198,-7.66E-07
0.0085372,1.27E-06
0.0088546,3.31E-06
0.0091719,5.35E-06
0.0094893,7.39E-06
0.0098067,9.43E-06
0.010124,0.000011467
0.010441,0.000013506
0.010759,0.000015545
0.011076,0.000017584
0.011393,0.000019623
0.065101,0.000021662
0.16996,0.0000237
0.2954,0.000042203
0.39217,0.000065348
0.46584,0.000088494
0.52347,0.00011164
0.58918,0.00013479
0.68689,0.00015793
0.78464,0.00018108
0.88563,0.00020422
0.98661,0.00022737
1.0876,0.00025052
1.1886,0.00027366
1.2896,0.00029681
1.3813,0.00031995
1.4158,0.0003431
1.4503,0.00036624
1.5532,0.00038939
1.6894,0.00041698
1.8446,0.00044745
1.9477,0.00047792
2.039,0.00050839
2.1455,0.00053887
2.2659,0.00056934
2.3656,0.00059981
2.4385,0.00063028
2.5518,0.00066076
2.7065,0.00069123
2.8612,0.0007217
2.9682,0.00075217
3.0637,0.00078265
3.1768,0.00081312
3.3063,0.00084359
3.4001,0.00087406
3.4767,0.00090454
3.5976,0.00093501
3.7566,0.00096548
3.9157,0.00099595
4.0336,0.0010264
4.1377,0.0010569
4.2419,0.0010874
4.3461,0.0011178
4.4519,0.0011483
4.5589,0.0011788
4.6756,0.0012093
4.8009,0.0012397
4.9163,0.0012702
5.0248,0.0013007
5.1547,0.0013312
5.3021,0.0013616
5.3994,0.0013921
5.4704,0.0014226
5.5548,0.001453
5.7051,0.0014835
5.8554,0.001514
5.9705,0.0015445
6.0544,0.0015749
6.1698,0.0016054
6.3118,0.0016359
6.4538,0.0016663
6.5406,0.0016968
6.6178,0.0017273
6.7142,0.0017578
6.8376,0.0017882
6.961,0.0018187
7.0844,0.0018492
7.2078,0.0018797
7.3312,0.0019101
7.4546,0.0019406
7.5763,0.0019711
7.6927,0.0020015
7.8091,0.002032
7.9255,0.0020625
8.0419,0.002093
8.1583,0.0021234
8.2747,0.0021539
8.3911,0.0021844
8.5075,0.0022149
8.6239,0.0022453
8.7408,0.0022758
8.859,0.0023063
8.9771,0.0023367
9.0953,0.0023672
9.2134,0.0023977
9.3316,0.0024282
9.4497,0.0024586
9.5679,0.0024891
9.686,0.0025196
9.8042,0.00255
9.9223,0.0025805
10.041,0.002611
10.159,0.0026415
10.277,0.002674
10.395,0.0027067
10.513,0.0027394
10.631,0.0027721
10.749,0.0028048
10.85,0.0028375
10.95,0.0028703
11.057,0.002903
11.168,0.0029357
11.279,0.0029684
11.39,0.0030011
11.502,0.0030338
11.613,0.0030665
11.724,0.0030993
11.835,0.003132
11.946,0.0031647
12.057,0.0031974
12.168,0.0032301
12.279,0.0032628
12.391,0.0032956
12.502,0.0033283
12.613,0.003361
12.724,0.0033937
12.835,0.0034264
12.946,0.0034591
13.057,0.0034918
13.168,0.0035246
13.28,0.0035573
13.391,0.00359
13.502,0.0036227
13.613,0.0036554
13.724,0.0036881
13.833,0.0037209
13.914,0.0037536
13.995,0.0037892
14.075,0.0038248
14.162,0.0038604
14.321,0.0038959
14.48,0.0039315
14.639,0.0039671
14.798,0.0040027
14.948,0.0040383
15.065,0.0040738
15.182,0.0041094
15.299,0.004145
15.416,0.0041806
15.533,0.0042162
15.649,0.0042518
15.766,0.0042873
15.883,0.0043229
16,0.0043585
16.117,0.0043941
16.234,0.0044297
16.351,0.0044652
16.467,0.0045008
16.584,0.0045364
16.701,0.004572
16.818,0.0046076
16.935,0.0046432
17.052,0.0046787
17.168,0.0047143
17.285,0.0047499
17.402,0.0047855
17.519,0.0048211
17.636,0.0048566
17.753,0.0048922
17.87,0.0049278
17.986,0.0049634
18.103,0.004999
18.215,0.0050346
18.323,0.0050701
18.431,0.0051057
18.539,0.0051413
18.646,0.0051769
18.754,0.0052125
18.862,0.005248
18.97,0.0052836
19.078,0.0053192
19.185,0.0053548
