time (s),tangential accel (m/s^2)
0,0.174
0.04,0.966
0.08,0.85
0.12,1.285
0.16,1.585
0.2,2.865
0.24,2.566
0.28,3.24
0.32,4.277
0.36,4.344
0.4,4.919
0.44,5.339
0.48,5.899
0.52,5.666
0.56,6.592
0.6,6.514
0.64,7.718
0.68,7.629
0.72,8.524
0.76,8.301
0.8,9.003
0.84,9.715
0.88,9.169
0.92,9.507
0.96,9.794
1,10.764
1.04,10.977
1.08,10.776
1.12,11.731
1.16,11.812
1.2,11.511
1.24,11.746
1.28,12.035
1.32,12.899
1.36,12.401
1.4,12.733
1.44,12.913
1.48,12.937
1.52,13.842
1.56,13.822
1.6,13.986
1.64,14.02
1.68,13.992
1.72,13.898
1.76,14.319
1.8,13.849
1.84,13.944
1.88,13.871
1.92,14.861
1.96,14.903
2,14.083
2.04,14.445
2.08,14.643
2.12,14.277
2.16,14.734
2.2,14.523
2.24,14.37
2.28,14.179
2.32,14.628
2.36,14.728
2.4,14.508
2.44,14.129
2.48,14.597
2.52,13.845
2.56,14.048
2.6,14.389
2.64,13.617
2.68,13.509
2.72,14.092
2.76,13.134
2.8,13.261
2.84,13.446
2.88,12.946
2.92,13.264
2.96,13.309
3,12.891
3.04,12.916
3.08,12.934
3.12,12.242
3.16,12.477
3.2,11.855
3.24,12.122
3.28,12.306
3.32,12.25
3.36,11.686
3.4,11.323
3.44,11.554
3.48,11.674
3.52,11.12
3.56,11.438
3.6,10.514
3.64,10.28
3.68,10.318
3.72,10.269
3.76,10.144
3.8,9.886
3.84,10.12
3.88,9.369
3.92,9.531
3.96,9.276
4,9.139
4.04,8.791
4.08,9.133
4.12,8.675
4.16,8.403
4.2,8.103
4.24,8.243
4.28,8.367
4.32,8.545
4.36,7.576
4.4,8.298
4.44,7.386
4.48,7.951
4.52,7.782
4.56,7.764
4.6,6.85
4.64,7.085
4.68,6.854
4.72,6.493
4.76,6.767
4.8,6.671
4.84,6.154
4.88,6.335
4.92,6.682
4.96,6.062
5,6.148
5.04,5.747
5.08,5.254
5.12,5.397
5.16,5.793
5.2,5.227
5.24,4.853
5.28,5.173
5.32,4.922
5.36,5.19
5.4,4.872
5.44,5.049
5.48,4.962
5.52,4.236
5.56,4.073
5.6,4.674
5.64,4.397
5.68,3.683
5.72,4.472
5.76,4.003
5.8,3.944
5.84,3.92
5.88,3.989
5.92,4.001
5.96,3.447
6,3.068
6.04,3.639
6.08,3.16
6.12,3.592
6.16,3.049
6.2,3.433
6.24,2.709
6.28,2.592
6.32,3.274
6.36,2.37
6.4,2.947
6.44,2.929
6.48,2.569
6.52,2.449
6.56,2.988
6.6,2.347
6.64,2.33
6.68,1.989
6.72,2.102
6.76,2.035
6.8,2.562
6.84,1.862
6.88,1.874
6.92,1.921
6.96,2.171
7,1.558
7.04,2.239
7.08,1.404
7.12,1.738
7.16,1.262
7.2,1.942
7.24,1.846
7.28,1.319
7.32,1.744
7.36,1.582
7.4,1.837
7.44,1.507
7.48,1.813
7.52,1.295
7.56,1.199
7.6,1.295
7.64,1.028
7.68,1.669
7.72,1.174
7.76,0.93
7.8,1.077
7.84,1.318
7.88,0.989
7.92,0.74
7.96,1.387
8,1.088
8.04,0.851
8.08,0.673
8.12,0.645
8.16,0.924
8.2,0.811
8.24,1.096
8.28,0.402
8.32,1.157
8.36,0.968
8.4,0.403
8.44,1.104
8.48,0.426
8.52,0.814
8.56,0.73
8.6,0.331
8.64,0.156
8.68,0.904
8.72,0.88
8.76,0.52
8.8,0.139
8.84,0.652
8.88,0.225
8.92,0.764
8.96,0.555
9,0.26
9.04,0.91
9.08,0.737
9.12,0.853
9.16,0.022
9.2,0.124
9.24,0.665
9.28,0.613
9.32,0.681
9.36,0.395
9.4,0.308
9.44,0.483
9.48,0.717
9.52,0.522
9.56,0.364
9.6,0.13
9.64,0.526
9.68,0.194
9.72,0.372
9.76,0.683
9.8,0.63
9.84,0.677
9.88,0.71
9.92,0.578
9.96,-0.243
10,-0.249
10.04,-0.172
10.08,-0.005
10.12,-0.25
10.16,0.145
10.2,0.056
10.24,0.25
10.28,0.628
10.32,-0.005
10.36,0.029
10.4,0.545
10.44,0.02
10.48,-0.187
10.52,0.177
10.56,0.521
10.6,0.044
10.64,0.351
10.68,0.278
10.72,0.096
10.76,0.115
10.8,0.587
10.84,-0.283
10.88,-0.091
10.92,0.073
10.96,0.21
11,0.496
11.04,0.084
11.08,0.049
11.12,0.354
11.16,0.073
11.2,0.463
11.24,0.065
11.28,0.094
11.32,0.081
11.36,-0.18
11.4,-0.327
11.44,-0.348
11.48,0.471
11.52,-0.187
11.56,0.439
11.6,0.287
11.64,0.446
11.68,0.509
11.72,-0.292
11.76,-0.039
11.8,0.545
11.84,0.207
11.88,0.457
11.92,0.041
11.96,-0.429
12,0.178
12.04,-0.215
12.08,0.08
12.12,0.276
12.16,0.156
12.2,0.136
12.24,-0.02
12.28,-0.211
12.32,-0.028
12.36,-0.448
12.4,0.15
12.44,0.497
12.48,-0.366
12.52,-0.427
12.56,0.422
12.6,-0.218
12.64,-0.457
12.68,0.348
12.72,-0.328
12.76,0.411
12.8,-0.375
12.84,-0.119
12.88,0.121
12.92,0.112
12.96,0.194
13,0.174
13.04,-0.042
13.08,-0.336
13.12,0.275
13.16,-0.236
13.2,0.172
13.24,0.378
13.28,-0.395
13.32,0.492
13.36,-0.449
13.4,0.354
13.44,0.354
13.48,-0.433
13.52,0.063
13.56,0.46
13.6,-0.163
13.64,0.322
13.68,0.116
13.72,0.304
13.76,0.313
13.8,-0.437
13.84,-0.204
13.88,0.166
13.92,0.002
13.96,0.485
14,0.26
14.04,0.079
14.08,-0.19
14.12,-0.233
14.16,0.397
14.2,-0.043
14.24,0.325
14.28,-0.392
14.32,0.369
14.36,-0.464
14.4,0.408
14.44,0.408
14.48,0.032
14.52,-0.372
14.56,-0.315
14.6,0.213
14.64,0.338
14.68,-0.458
14.72,0.264
14.76,0.463
14.8,-0.151
14.84,0.144
14.88,-0.151
14.92,-0.278
14.96,0.292
15,0.228
