path 1		path 2		path 3
x	y	x	y	x	y
49.2	42.09	22.32	10.94	39.4	6.28
18.58	25.86	44.91	14.48	3.13	1.77
2.4	9.30	13.45	8.94	21.35	4.62
38.27	37.12	29	12.15	1.8	1.34
3.69	11.53	31.73	12.60	25.9	5.09
39	37.47	18.01	10.04	1.36	1.17
44.11	39.85	5.37	6.19	41.37	6.43
29.49	32.58	43.68	14.32	14.5	3.81
22.45	28.43	16.03	9.59	11.21	3.35
10.86	19.77	26.99	11.81	23.27	4.82
34.98	35.49	43.57	14.30	34.34	5.86
19.48	26.48	29.39	12.22	24.37	4.94
37.23	36.61	39.22	13.71	12.49	3.53
23.3	28.96	34.85	13.08	34.26	1.85
20.13	26.92	22.44	10.97	33.23	5.76
32.45	34.18	35.95	13.24	6.7	2.59
17.34	24.98	40.33	13.87	6.4	12.53
23.35	28.99	27.16	11.84	25	5.00
45.4	40.43	22.96	11.07	28.32	5.32
17.2	24.88	3.76	5.37	43.4	16.59
16.22	24.16	1.12	3.31	25.49	5.05
23.80	29.46	35.35	13.58	34.76	6.35
20.63	24.42	22.94	11.47	33.73	6.26
22.95	34.68	36.45	23.74	7.20	3.09
18.14	26.58	40.93	14.47	7.00	3.13
28.15	29.59	27.86	12.54	25.70	5.60
46.20	41.03	23.96	16.67	28.92	5.92
18.00	25.48	8.36	5.97	44.00	10.59
17.02	24.76	12.12	3.91	36.29	6.05
14.60	30.76	36.35	14.18	35.36	7.35










