         a          b          V         SA
  0.250000   2.250000  24.674011  49.348022
  0.300000   2.300000  25.660971  51.321943
  0.350000   2.350000  26.647932  53.295864
  0.400000   2.400000  27.634892  55.269785
  0.450000   2.450000  28.621853  57.243706
  0.500000   2.500000  29.608813  59.217626
  0.550000   2.550000  30.595774  61.191547
  0.600000   2.600000  31.582734  63.165468
  0.650000   2.650000  32.569695  65.139389
  0.700000   2.700000  33.556655  67.113310
  0.750000   2.750000  34.543615  69.087231
  0.800000   2.800000  35.530576  71.061152
  0.850000   2.850000  36.517536  73.035073
  0.900000   2.900000  37.504497  75.008993
  0.950000   2.950000  38.491457  76.982914
  1.000000   3.000000  39.478418  78.956835
  1.050000   3.050000  40.465378  80.930756
  1.100000   3.100000  41.452338  82.904677
  1.150000   3.150000  42.439299  84.878598
  1.200000   3.200000  43.426259  86.852519
  1.250000   3.250000  44.413220  88.826440
  1.300000   3.300000  45.400180  90.800360
  1.350000   3.350000  46.387141  92.774281
  1.400000   3.400000  47.374101  94.748202
  1.450000   3.450000  48.361062  96.722123
  1.500000   3.500000  49.348022  98.696044
  1.550000   3.550000  50.334982 100.669965
  1.600000   3.600000  51.321943 102.643886
  1.650000   3.650000  52.308903 104.617807
  1.700000   3.700000  53.295864 106.591728
  1.750000   3.750000  54.282824 108.565648
  1.800000   3.800000  55.269785 110.539569
  1.850000   3.850000  56.256745 112.513490
  1.900000   3.900000  57.243706 114.487411
  1.950000   3.950000  58.230666 116.461332
  2.000000   4.000000  59.217626 118.435253
  2.050000   4.050000  60.204587 120.409174
  2.100000   4.100000  61.191547 122.383095
  2.150000   4.150000  62.178508 124.357015
  2.200000   4.200000  63.165468 126.330936
  2.250000   4.250000  64.152429 128.304857
  2.300000   4.300000  65.139389 130.278778
  2.350000   4.350000  66.126349 132.252699
  2.400000   4.400000  67.113310 134.226620
  2.450000   4.450000  68.100270 136.200541
  2.500000   4.500000  69.087231 138.174462
  2.550000   4.550000  70.074191 140.148382
  2.600000   4.600000  71.061152 142.122303
  2.650000   4.650000  72.048112 144.096224
  2.700000   4.700000  73.035073 146.070145
  2.750000   4.750000  74.022033 148.044066
  2.800000   4.800000  75.008993 150.017987
  2.850000   4.850000  75.995954 151.991908
  2.900000   4.900000  76.982914 153.965829
  2.950000   4.950000  77.969875 155.939750
  3.000000   5.000000  78.956835 157.913670
  3.050000   5.050000  79.943796 159.887591
  3.100000   5.100000  80.930756 161.861512
  3.150000   5.150000  81.917717 163.835433
  3.200000   5.200000  82.904677 165.809354
  3.250000   5.250000  83.891637 167.783275
  3.300000   5.300000  84.878598 169.757196
  3.350000   5.350000  85.865558 171.731117
  3.400000   5.400000  86.852519 173.705037
  3.450000   5.450000  87.839479 175.678958
  3.500000   5.500000  88.826440 177.652879
  3.550000   5.550000  89.813400 179.626800
  3.600000   5.600000  90.800360 181.600721
  3.650000   5.650000  91.787321 183.574642
  3.700000   5.700000  92.774281 185.548563
  3.750000   5.750000  93.761242 187.522484
  3.800000   5.800000  94.748202 189.496405
  3.850000   5.850000  95.735163 191.470325
  3.900000   5.900000  96.722123 193.444246
  3.950000   5.950000  97.709084 195.418167
  4.000000   6.000000  98.696044 197.392088
