[vac]	V/V0
0	1
0.005	0.998341074
0.01	0.996936203
0.012	0.996609181
0.015	0.995363282
0.017	0.994649242
0.019	0.994126193
0.02	0.994156544
0.021	0.993241499
0.022	0.993049268
0.023	0.992267319
0.024	0.993023291
0.025	0.99227563
0.027	0.99210658
0.028	0.990628973
0.03	0.990232921
0.031	0.990902689
0.033	0.990500905
0.034	0.990280278
0.035	0.989810416
0.036	0.988389723
0.037	0.988051179
0.039	0.987697132
0.04	0.988385612
0.042	0.986367299
0.044	0.986313175
0.045	0.984801108
0.046	0.985620466
0.047	0.985654711
0.048	0.986451928
0.05	0.985051075
0.051	0.984854532
0.052	0.984171122
0.054	0.984343102
0.055	0.983902255
0.057	0.982127637
0.058	0.983224359
0.06	0.982314559
0.061	0.980577099
0.063	0.981044961
0.064	0.979380861
0.065	0.979893368
0.066	0.979647985
0.068	0.980489548
0.07	0.978338571
0.071	0.977409073
0.073	0.978084789
0.074	0.976624746
0.075	0.974825717
0.076	0.977404438
0.077	0.975346887
0.078	0.976054591
0.08	0.975237326
0.082	0.973727124
0.084	0.973199409
0.085	0.973584185
0.086	0.975581005
0.087	0.97157026
0.088	0.970482151
0.089	0.971725284
0.091	0.971768076
0.093	0.968819667
0.094	0.970339859
0.095	0.972075768
0.096	0.970528962
0.097	0.967774721
0.099	0.967837707
