time (hours)	parameter
1	107.6441563
2	106.7320824
3	101.1860567
4	98.39144529
5	99.41622585
6	94.51055645
7	89.25520688
8	86.49289376
9	84.28992515
10	83.43264424
11	80.92313924
12	80.53672638
13	79.08188314
14	76.91198741
15	73.77667061
16	67.22939064
17	70.68943656
18	67.26798219
19	65.29686803
20	60.13539739
21	61.37664196
22	55.43036441
23	54.96813932
24	57.94538954
25	50.94318134
26	51.38905485
27	51.26461092
28	49.84396617
29	44.4617478
30	43.96792739
31	44.55679011
32	42.73700427
33	40.53710229
34	38.38179975
35	36.7592263
36	36.25652102
37	39.44145194
38	33.7474765
39	36.99149058
40	35.00581088
41	31.0279793
42	29.51955383
43	33.47018112
44	27.69280408
45	27.28852621
46	30.69850429
47	25.29086609
48	26.53716438
49	25.41339062
50	23.01977951
